sub,emotion,X1,Y1,RT,study
1,annoyed,53,-50,12.775,study1
1,relaxed,151,-187,5.655,study1
1,enthusiastic,149,132,1.751,study1
1,calm,142,-197,2.413,study1
1,disappointed,-163,-137,2.256,study1
1,aroused,127,155,1.911,study1
1,neutral,-1,0,3.538,study1
1,sluggish,-170,-146,2.611,study1
1,peppy,128,171,2.275,study1
1,quiet,1,-231,5.2,study1
1,still,-5,-166,2.691,study1
1,surprised,-14,144,3.848,study1
1,sleepy,48,-233,4.884,study1
1,nervous,-141,189,11.367,study1
1,afraid,-43,174,2.141,study1
1,satisfied,223,147,5.808,study1
1,disgusted,-147,154,1.925,study1
1,angry,-164,172,1.858,study1
1,happy,101,127,1.602,study1
1,sad,-106,-140,1.812,study1
2,relaxed,155,1,94.706,study1
2,calm,224,2,9.161,study1
2,sad,-207,-3,5.427,study1
2,surprised,1,126,5.466,study1
2,still,0,3,3.139,study1
2,aroused,39,193,3.907,study1
2,peppy,141,134,3.082,study1
2,disappointed,-150,100,4.543,study1
2,sleepy,-160,-196,3.598,study1
2,angry,-138,195,3.662,study1
2,annoyed,-194,1,10.118,study1
2,enthusiastic,227,229,2.64,study1
2,nervous,-200,85,5.636,study1
2,disgusted,-243,238,2.552,study1
2,satisfied,247,225,1.851,study1
2,neutral,-4,0,1.972,study1
2,afraid,-158,-99,2.711,study1
2,sluggish,-151,-195,2.225,study1
2,quiet,-2,-2,2.775,study1
2,happy,250,153,3.812,study1
3,enthusiastic,233,235,10.968,study1
3,surprised,1,232,5.036,study1
3,still,1,-247,10.431,study1
3,happy,244,110,9.934,study1
3,aroused,1,240,9.091,study1
3,afraid,-239,243,7.086,study1
3,neutral,0,0,7.174,study1
3,satisfied,239,12,4.768,study1
3,annoyed,-151,122,5.095,study1
3,relaxed,153,-168,7.844,study1
3,sad,-122,2,10.017,study1
3,nervous,-2,234,4.97,study1
3,angry,-217,174,5.737,study1
3,calm,212,-228,4.448,study1
3,disappointed,-193,18,4.825,study1
3,quiet,194,-230,5.164,study1
3,peppy,201,203,3.238,study1
3,sluggish,-3,-241,7.684,study1
3,disgusted,-182,173,6.347,study1
3,sleepy,-1,-210,7.972,study1
4,quiet,236,-243,42.885,study1
4,disappointed,-240,235,3.945,study1
4,sad,-230,229,2.92,study1
4,enthusiastic,241,238,2.343,study1
4,sluggish,-3,-236,5.202,study1
4,happy,233,231,2.426,study1
4,disgusted,-236,233,3.022,study1
4,angry,-236,238,2.107,study1
4,calm,239,-240,2.173,study1
4,aroused,3,243,3.045,study1
4,surprised,0,241,3.098,study1
4,sleepy,-1,-235,2.525,study1
4,relaxed,241,-237,2.896,study1
4,neutral,2,1,2.805,study1
4,satisfied,244,-2,3.111,study1
4,nervous,-244,242,3.555,study1
4,peppy,242,238,3.584,study1
4,afraid,-243,239,2.703,study1
4,annoyed,-241,244,2.024,study1
4,still,1,0,4.118,study1
5,angry,-129,-126,8.247,study1
5,sad,-182,-69,7.319,study1
5,quiet,-29,1,5.956,study1
5,enthusiastic,140,115,4.339,study1
5,surprised,40,100,5.117,study1
5,sleepy,-80,-131,10.661,study1
5,disappointed,-207,-206,4.308,study1
5,still,-8,-10,3.271,study1
5,calm,1,-1,15.334,study1
5,afraid,-118,-222,4.556,study1
5,disgusted,-238,-246,4.279,study1
5,sluggish,-60,-141,3.745,study1
5,nervous,-145,-110,4.295,study1
5,annoyed,-229,-217,3.978,study1
5,aroused,3,230,8.092,study1
5,relaxed,37,1,6.318,study1
5,neutral,2,3,4.076,study1
5,satisfied,150,18,4.042,study1
5,peppy,83,8,23.957,study1
5,happy,195,70,4.052,study1
6,angry,-200,11,9.217,study1
6,still,190,19,5.503,study1
6,neutral,1,1,10.253,study1
6,quiet,205,-2,14.902,study1
6,satisfied,0,208,9.039,study1
6,sluggish,-189,-4,4.144,study1
6,annoyed,-206,-3,5.42,study1
6,relaxed,211,-1,5.361,study1
6,disappointed,-223,-4,4.509,study1
6,calm,-1,238,5.259,study1
6,peppy,-21,-2,5.149,study1
6,sad,3,-193,8.101,study1
6,happy,0,237,3.709,study1
6,afraid,-216,0,5.219,study1
6,nervous,-218,4,4.322,study1
6,disgusted,-236,-3,3.363,study1
6,enthusiastic,235,-5,3.222,study1
6,aroused,-4,2,7.699,study1
6,surprised,203,1,4.809,study1
6,sleepy,-3,-4,4.711,study1
7,enthusiastic,136,207,9.41,study1
7,angry,-179,196,6.464,study1
7,nervous,-228,94,8.021,study1
7,annoyed,-49,46,4.862,study1
7,disgusted,-189,126,4.929,study1
7,calm,41,1,5.833,study1
7,quiet,57,-155,8.795,study1
7,relaxed,184,-233,3.749,study1
7,satisfied,225,-86,4.702,study1
7,sad,-204,71,8.93,study1
7,surprised,-2,216,8.268,study1
7,sluggish,-39,-206,11.467,study1
7,still,21,-123,5.903,study1
7,sleepy,1,-225,6.752,study1
7,neutral,2,-1,4.234,study1
7,disappointed,-175,5,9.964,study1
7,happy,180,87,3.45,study1
7,afraid,-239,225,5.029,study1
7,aroused,102,157,5.927,study1
7,peppy,212,161,4.743,study1
8,sad,-202,-200,46.76,study1
8,aroused,-1,221,10.321,study1
8,annoyed,-239,1,8.145,study1
8,happy,239,2,4.854,study1
8,quiet,0,-238,9.92,study1
8,sluggish,-1,-241,11.197,study1
8,afraid,-172,1,8.249,study1
8,surprised,-1,136,18.481,study1
8,disgusted,-149,-1,5.863,study1
8,neutral,0,2,5.319,study1
8,nervous,0,116,10.161,study1
8,satisfied,153,0,6.85,study1
8,still,1,-242,7.039,study1
8,peppy,0,235,4.601,study1
8,relaxed,0,-239,7.184,study1
8,angry,-230,-1,6.243,study1
8,sleepy,0,-246,4.324,study1
8,enthusiastic,3,238,4.557,study1
8,calm,0,-240,6.516,study1
8,disappointed,-208,0,6.087,study1
9,nervous,-205,202,9.109,study1
9,afraid,-187,84,7.278,study1
9,peppy,161,193,6.178,study1
9,calm,219,-227,5.851,study1
9,happy,197,48,7.222,study1
9,quiet,31,-115,12.271,study1
9,disgusted,-152,-18,7.652,study1
9,annoyed,-119,67,7.202,study1
9,surprised,-39,145,5.914,study1
9,satisfied,143,-139,8.292,study1
9,still,25,-211,5.725,study1
9,relaxed,144,-208,5.036,study1
9,aroused,91,220,7.542,study1
9,disappointed,-39,-171,5.279,study1
9,angry,-179,235,11.997,study1
9,sluggish,-83,-220,7.318,study1
9,sad,-204,-152,6.566,study1
9,enthusiastic,168,239,6.666,study1
9,neutral,0,-1,8.067,study1
9,sleepy,0,-216,8.694,study1
10,sad,-72,-88,202.877,study1
10,sluggish,-76,-85,8.059,study1
10,quiet,-53,-80,3.24,study1
10,annoyed,-81,-79,2.05,study1
10,still,-1,-137,4.429,study1
10,relaxed,-49,-112,5.547,study1
10,angry,-70,68,4.332,study1
10,surprised,80,113,3.728,study1
10,disgusted,-84,121,2.535,study1
10,disappointed,-114,-130,5.534,study1
10,neutral,1,-2,3.313,study1
10,happy,161,181,10.542,study1
10,aroused,1,234,2.903,study1
10,calm,59,-211,3.262,study1
10,afraid,-79,109,2.113,study1
10,enthusiastic,165,198,4.218,study1
10,nervous,-90,105,3.903,study1
10,satisfied,116,100,1.453,study1
10,sleepy,-98,-111,2.472,study1
10,peppy,144,127,0.986,study1
11,angry,-41,-68,202.291,study1
11,nervous,-31,-95,8.331,study1
11,quiet,-33,-83,1.924,study1
11,annoyed,-35,-75,2.263,study1
11,surprised,35,79,7.277,study1
11,relaxed,-60,-83,2.117,study1
11,sad,110,-107,1.248,study1
11,disgusted,-97,65,2.842,study1
11,still,8,-155,4.244,study1
11,satisfied,107,-95,2.749,study1
11,calm,121,-116,1.14,study1
11,sluggish,-115,-126,1.156,study1
11,afraid,-85,111,7.004,study1
11,neutral,0,1,1.177,study1
11,sleepy,0,-211,4.048,study1
11,enthusiastic,141,124,12.49,study1
11,aroused,3,232,2.121,study1
11,happy,91,183,1.94,study1
11,disappointed,-28,-151,2.255,study1
11,peppy,116,121,3.201,study1
12,sad,-147,-28,15.866,study1
12,neutral,0,1,5.536,study1
12,aroused,105,173,8.742,study1
12,nervous,-76,147,6.54,study1
12,still,2,-100,8.192,study1
12,disappointed,-134,24,7.718,study1
12,sluggish,-107,-166,8.938,study1
12,angry,-130,149,16.974,study1
12,peppy,123,144,5.135,study1
12,disgusted,-89,89,8.094,study1
12,satisfied,85,-53,9.96,study1
12,annoyed,-92,64,6.522,study1
12,surprised,28,94,12.012,study1
12,enthusiastic,151,147,5.015,study1
12,calm,87,-159,8.789,study1
12,relaxed,114,-143,7.792,study1
12,happy,168,92,7.176,study1
